2026-04-19T17:08:54.120050+00:00 | Nothin On You (Feat. Bruno Mars) | B.O.B. | source:amperwave-api
2026-04-19T17:09:33.961628+00:00 | Nothin On You (Feat. Bruno Mars) | B.O.B. | source:amperwave-api
2026-04-19T17:10:14.834946+00:00 | Nothin On You (Feat. Bruno Mars) | B.O.B. | source:amperwave-api
2026-04-19T17:11:00.220035+00:00 | Nothin On You (Feat. Bruno Mars) | B.O.B. | source:amperwave-api
2026-04-19T17:11:47.395380+00:00 | Nothin On You (Feat. Bruno Mars) | B.O.B. | source:amperwave-api
2026-04-19T17:12:27.167606+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:13:36.990882+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:14:20.248337+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:15:10.702304+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:15:50.867016+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:16:32.340191+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:17:12.934111+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:17:59.253904+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:18:40.242301+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:19:22.753270+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:20:03.576776+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:20:44.159037+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:21:25.329104+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:22:06.074822+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:22:46.482518+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:23:37.266550+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:24:18.551835+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:25:05.652565+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:26:06.778101+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:26:47.669734+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:27:49.976773+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:28:29.962503+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:29:11.728765+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:29:55.611430+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:30:37.161676+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:31:44.049045+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:32:25.041477+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:33:06.009670+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:33:51.042852+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:34:34.833719+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:35:15.325096+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:35:56.139756+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:36:42.495291+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:37:22.350452+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:38:05.282313+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:38:44.881245+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:39:25.585935+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:40:06.811693+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:40:50.046921+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:41:34.928611+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:42:36.272586+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:43:15.720202+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:43:57.217526+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:45:05.978840+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:45:45.305403+00:00 | Risk It All | Bruno Mars | source:amperwave-api
