2026-04-18T13:31:42.109546+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:32:18.176662+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:32:55.342807+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:33:32.174478+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:34:41.013150+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:35:18.062190+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:35:55.946427+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:36:51.402180+00:00 | Rock The Casbah | Clash | source:amperwave-api
2026-04-18T13:37:27.209641+00:00 | Rock The Casbah | Clash | source:amperwave-api
2026-04-18T13:38:05.011371+00:00 | Rock The Casbah | Clash | source:amperwave-api
2026-04-18T13:39:02.755167+00:00 | Rock The Casbah | Clash | source:amperwave-api
2026-04-18T13:39:39.250291+00:00 | Rock The Casbah | Clash | source:amperwave-api
2026-04-18T13:40:15.053547+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:41:06.528759+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:41:43.535424+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:42:20.281621+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:43:06.660602+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:43:43.165032+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:44:18.873305+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:45:13.711346+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:45:49.683226+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:46:28.244517+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:47:04.849355+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:47:40.692161+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:48:18.216624+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:48:55.883991+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:49:32.337002+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:50:09.173975+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:50:45.216652+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:51:22.138232+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:52:00.098096+00:00 | Jamies Cryin | Van Halen | source:amperwave-api
2026-04-18T13:52:36.334408+00:00 | Plush | Stone Temple Pilots | source:amperwave-api
2026-04-18T13:53:37.902213+00:00 | Plush | Stone Temple Pilots | source:amperwave-api
2026-04-18T13:54:14.087849+00:00 | Plush | Stone Temple Pilots | source:amperwave-api
2026-04-18T13:54:50.224074+00:00 | Plush | Stone Temple Pilots | source:amperwave-api
2026-04-18T13:55:40.125333+00:00 | Plush | Stone Temple Pilots | source:amperwave-api
2026-04-18T13:56:16.514954+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T13:56:52.429047+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T13:57:39.815429+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T13:58:19.079355+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T13:58:54.224360+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T13:59:43.700361+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T14:00:20.864687+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T14:00:57.566628+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T14:01:49.198542+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T14:02:25.460438+00:00 | Comfortably Numb | Pink Floyd | source:amperwave-api
2026-04-18T14:03:01.801218+00:00 | American Girl | Tom Petty | source:amperwave-api
2026-04-18T14:03:43.321722+00:00 | American Girl | Tom Petty | source:amperwave-api
2026-04-18T14:04:19.638911+00:00 | American Girl | Tom Petty | source:amperwave-api
2026-04-18T14:04:56.769195+00:00 | American Girl | Tom Petty | source:amperwave-api
2026-04-18T14:05:32.828692+00:00 | American Girl | Tom Petty | source:amperwave-api
2026-04-18T14:06:09.589822+00:00 | American Girl | Tom Petty | source:amperwave-api
