2026-04-12T16:05:31.152748+00:00 | All Night Long | Joe Walsh | source:amperwave-api
2026-04-12T16:06:05.194187+00:00 | All Night Long | Joe Walsh | source:amperwave-api
2026-04-12T16:07:01.454270+00:00 | All Night Long | Joe Walsh | source:amperwave-api
2026-04-12T16:07:37.030186+00:00 | All Night Long | Joe Walsh | source:amperwave-api
2026-04-12T16:08:34.910077+00:00 | All Night Long | Joe Walsh | source:amperwave-api
2026-04-12T16:09:09.067454+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:09:42.835481+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:10:17.488967+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:10:52.304142+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:11:27.313639+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:12:07.033289+00:00 | And The Cradle Will Rock | Van Halen | source:amperwave-api
2026-04-12T16:12:42.218945+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:13:16.425775+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:13:50.090907+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:14:24.644074+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:14:58.172134+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:15:32.231885+00:00 | Keep On Loving You | Reo Speedwagon | source:amperwave-api
2026-04-12T16:16:31.277481+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:17:05.751914+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:17:39.724346+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:18:15.346645+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:18:49.352732+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:19:23.090121+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:19:57.683418+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:20:32.448933+00:00 | (Dont Fear) The Reaper | Blue Oyster Cult | source:amperwave-api
2026-04-12T16:21:32.293668+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-12T16:22:06.379717+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-12T16:22:40.281182+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-12T16:23:17.905202+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-12T16:23:51.852608+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-12T16:24:25.665792+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:25:00.499509+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:25:35.930864+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:26:10.307471+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:26:49.282371+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:27:23.278762+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:27:57.251510+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:28:31.581242+00:00 | Blaze Of Glory | Bon Jovi | source:amperwave-api
2026-04-12T16:29:05.331207+00:00 | Hair Of The Dog | Nazareth | source:amperwave-api
2026-04-12T16:29:39.306288+00:00 | Hair Of The Dog | Nazareth | source:amperwave-api
2026-04-12T16:30:13.298323+00:00 | Hair Of The Dog | Nazareth | source:amperwave-api
2026-04-12T16:30:46.976790+00:00 | Hair Of The Dog | Nazareth | source:amperwave-api
2026-04-12T16:31:21.499995+00:00 | Hair Of The Dog | Nazareth | source:amperwave-api
